Indicators Results List: Institutions   Filter Results By: ResearchFields   Filter Value(s): COMPUTER SCIENCE   Show: Top
,Institutions,Countries/Regions,Web of Science Documents,Cites,Cites/Paper,Top Papers
"720","FIRAT UNIVERSITY","TURKIYE","273","6114","22.40","5"
"721","NETAJI SUBHAS UNIVERSITY OF TECHNOLOGY","INDIA","586","6089","10.39","3"
"722","KYUSHU UNIVERSITY","JAPAN","615","6069","9.87","7"
"723","KING KHALID UNIVERSITY","SAUDI ARABIA","825","6057","7.34","6"
"724","ACADEMIA SINICA - TAIWAN","TAIWAN","607","6018","9.91","3"
"725","MURORAN INSTITUTE OF TECHNOLOGY","JAPAN","240","6009","25.04","11"
"726","UNIVERSITY OF CALIFORNIA SANTA BARBARA","USA","569","5990","10.53","1"
"727","RUPRECHT KARLS UNIVERSITY HEIDELBERG","GERMANY (FED REP GER)","345","5989","17.36","8"
"728","UNIVERSIDADE FORTALEZA","BRAZIL","187","5965","31.90","4"
"729","UNIVERSITY OF MILANO-BICOCCA","ITALY","535","5943","11.11","3"
"730","JIANGSU NORMAL UNIVERSITY","CHINA MAINLAND","242","5939","24.54","7"
"730","TOKYO INSTITUTE OF TECHNOLOGY","JAPAN","690","5939","8.61","2"
"732","UNIVERSITY OF MIAMI","USA","295","5932","20.11","9"
"733","AUTONOMOUS UNIVERSITY OF MADRID","SPAIN","441","5931","13.45","4"
"734","UNIVERSITY OF NORTH TEXAS SYSTEM","USA","380","5927","15.60","2"
"735","UNIVERSITY OF NORTH TEXAS DENTON","USA","379","5926","15.64","2"
"736","UNIVERSITY OF CONNECTICUT","USA","461","5925","12.85","1"
"737","GWANGJU INSTITUTE OF SCIENCE & TECHNOLOGY (GIST)","SOUTH KOREA","404","5922","14.66","4"
"738","EAST CHINA JIAOTONG UNIVERSITY","CHINA MAINLAND","518","5917","11.42","9"
"739","RENSSELAER POLYTECHNIC INSTITUTE","USA","421","5905","14.03","6"
"740","UNIVERSITY OF STRATHCLYDE","SCOTLAND","392","5900","15.05","6"
"741","UNIVERSIDADE NOVA DE LISBOA","PORTUGAL","461","5887","12.77","6"
"742","UNIVERSITI PUTRA MALAYSIA","MALAYSIA","514","5884","11.45","6"
"743","SRM INSTITUTE OF SCIENCE & TECHNOLOGY CHENNAI","INDIA","1147","5860","5.11","5"
"744","WROCLAW UNIVERSITY OF SCIENCE & TECHNOLOGY","POLAND","459","5848","12.74","5"
"745","IMT ATLANTIQUE","FRANCE","477","5845","12.25","4"
"746","UNIVERSITY OF HAMBURG","GERMANY (FED REP GER)","394","5822","14.78","5"
"747","ZHENGZHOU UNIVERSITY OF LIGHT INDUSTRY","CHINA MAINLAND","543","5801","10.68","13"
"748","UNIVERSITY OF SALAMANCA","SPAIN","303","5799","19.14","3"
"749","AUTONOMOUS UNIVERSITY OF BARCELONA","SPAIN","512","5775","11.28","6"
"750","MAASTRICHT UNIVERSITY","NETHERLANDS","339","5768","17.01","10"
"751","CHAUDHARY CHARAN SINGH UNIVERSITY","INDIA","204","5764","28.25","6"
"752","WARSAW UNIVERSITY OF TECHNOLOGY","POLAND","521","5749","11.03","4"
"753","DURHAM UNIVERSITY","ENGLAND","540","5734","10.62","5"
"754","UNIVERSIDADE FEDERAL DE PERNAMBUCO","BRAZIL","637","5730","9.00","1"
"755","UNIVERSITY OF MILAN","ITALY","671","5727","8.54","4"
"756","ITMO UNIVERSITY","RUSSIA","336","5720","17.02","3"
"757","PRINCE SULTAN UNIVERSITY","SAUDI ARABIA","499","5713","11.45","6"
"758","BABOL NOSHIRVANI UNIVERSITY OF TECHNOLOGY","IRAN","239","5707","23.88","6"
"759","UNIVERSITY OF SHARJAH","UNITED ARAB EMIRATES","502","5688","11.33","4"
"760","UNIVERSITY OF INNSBRUCK","AUSTRIA","367","5683","15.49","5"
"761","UNITED STATES DEPARTMENT OF AGRICULTURE (USDA)","USA","304","5681","18.69","3"
"761","UNIVERSITY OF ALABAMA TUSCALOOSA","USA","350","5681","16.23","4"
"763","QINGDAO UNIVERSITY OF SCIENCE & TECHNOLOGY","CHINA MAINLAND","379","5680","14.99","6"
"764","UNIVERSITY OF PAVIA","ITALY","318","5663","17.81","4"
"764","SYRACUSE UNIVERSITY","USA","319","5663","17.75","6"
"764","UNIVERSITY OF PUNJAB","PAKISTAN","383","5663","14.79","2"
"767","EDINBURGH NAPIER UNIVERSITY","SCOTLAND","386","5653","14.65","10"
"768","UNIVERSITY OF BARCELONA","SPAIN","367","5647","15.39","6"
"769","ANHUI UNIVERSITY OF TECHNOLOGY","CHINA MAINLAND","308","5629","18.28","6"
"770","PUSAN NATIONAL UNIVERSITY","SOUTH KOREA","414","5625","13.59","8"
"771","UNIVERSIDADE DE SANTIAGO DE COMPOSTELA","SPAIN","266","5623","21.14","6"
"772","FENG CHIA UNIVERSITY","TAIWAN","569","5620","9.88","3"
"773","TENCENT","CHINA MAINLAND","562","5605","9.97","9"
"774","UMM AL QURA UNIVERSITY","SAUDI ARABIA","618","5602","9.06","2"
"775","UNIVERSITE CATHOLIQUE LOUVAIN","BELGIUM","383","5589","14.59","4"
"776","COMPLUTENSE UNIVERSITY OF MADRID","SPAIN","708","5582","7.88","1"
"777","UNIVERSITY OF CATANIA","ITALY","420","5570","13.26","2"
"778","UNIVERSIDAD DE CASTILLA-LA MANCHA","SPAIN","673","5559","8.26","3"
"779","CASE WESTERN RESERVE UNIVERSITY","USA","311","5558","17.87","10"
"779","DONGGUAN UNIVERSITY OF TECHNOLOGY","CHINA MAINLAND","373","5558","14.90","5"
"781","EURECOM","FRANCE","334","5555","16.63","5"
"782","UNIV TORONTO AFFILIATES","N/A","255","5542","21.73","7"
"783","UNIV CONFEDERALE LEONARD DE VINCI","N/A","491","5539","11.28","4"
"784","NORTHEAST NORMAL UNIVERSITY - CHINA","CHINA MAINLAND","343","5536","16.14","4"
"785","AIX-MARSEILLE UNIVERSITE","FRANCE","625","5513","8.82","1"
"786","GERMAN AEROSPACE CENTRE (DLR)","GERMANY (FED REP GER)","367","5510","15.01","8"
"787","LAKEHEAD UNIVERSITY","CANADA","247","5507","22.30","7"
"788","ERCIYES UNIVERSITY","TURKIYE","232","5506","23.73","6"
"789","UNIVERSITY OF MURCIA","SPAIN","558","5484","9.83","3"
"790","UNIVERSITY OF TURIN","ITALY","538","5478","10.18","4"
"791","BOGAZICI UNIVERSITY","TURKIYE","443","5474","12.36","3"
"792","UNIVERSITY OF JINAN","CHINA MAINLAND","415","5429","13.08","3"
"793","NANJING AGRICULTURAL UNIVERSITY","CHINA MAINLAND","334","5427","16.25","9"
"794","UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL","BRAZIL","589","5411","9.19","2"
"795","EMBRY-RIDDLE AERONAUTICAL UNIVERSITY","USA","195","5409","27.74","8"
"796","UNIVERSITY OF NEW BRUNSWICK","CANADA","398","5407","13.59","3"
"797","NATIONAL DONG HWA UNIVERSITY","TAIWAN","354","5405","15.27","4"
"798","SHANTOU UNIVERSITY","CHINA MAINLAND","377","5399","14.32","8"
"799","ARGONNE NATIONAL LABORATORY","USA","469","5395","11.50","4"
"800","VIRGINIA COMMONWEALTH UNIVERSITY","USA","345","5394","15.63","4"
"801","INDIAN INSTITUTE OF TECHNOLOGY (IIT) - BOMBAY","INDIA","560","5385","9.62","4"
"801","AJOU UNIVERSITY","SOUTH KOREA","611","5385","8.81","1"
"803","ULSTER UNIVERSITY","NORTHERN IRELAND","376","5370","14.28","3"
"804","OREGON STATE UNIVERSITY","USA","451","5368","11.90","2"
"805","ENSTA PARIS","FRANCE","215","5344","24.86","2"
"806","WESTERN MICHIGAN UNIVERSITY","USA","117","5343","45.67","4"
"807","HACETTEPE UNIVERSITY","TURKIYE","358","5326","14.88","4"
"808","YUAN ZE UNIVERSITY","TAIWAN","528","5324","10.08","3"
"809","ISTITUTO DI SCIENZA E TECNOLOGIE DELL'INFORMAZIONE ALESSANDRO FAEDO (ISTI-CNR)","ITALY","402","5323","13.24","4"
"810","INDIAN INSTITUTE OF TECHNOLOGY (IIT) - GUWAHATI","INDIA","644","5306","8.24","2"
"811","HEILONGJIANG UNIVERSITY","CHINA MAINLAND","296","5305","17.92","6"
"812","TIANGONG UNIVERSITY","CHINA MAINLAND","454","5302","11.68","8"
"813","FORDHAM UNIVERSITY","USA","221","5289","23.93","4"
"814","UNIVERSITY OF OVIEDO","SPAIN","531","5273","9.93","2"
"815","UNIVERSITY OF WEST ENGLAND","ENGLAND","309","5251","16.99","5"
"816","UNIVERSITY OF DUISBURG ESSEN","GERMANY (FED REP GER)","408","5250","12.87","6"
"817","JAWAHARLAL NEHRU UNIVERSITY, NEW DELHI","INDIA","430","5248","12.20","1"
"818","NANJING FORESTRY UNIVERSITY","CHINA MAINLAND","394","5247","13.32","8"
"818","CNRS - NATIONAL INSTITUTE FOR MATHEMATICAL SCIENCES (INSMI)","FRANCE","433","5247","12.12","2"
"820","HUZHOU UNIVERSITY","CHINA MAINLAND","302","5242","17.36","14"
"821","UNIVERSIDADE DE VIGO","SPAIN","386","5241","13.58","4"
Copyright © 2024 Clarivate
