Indicators Results List: Institutions   Filter Results By: ResearchFields   Filter Value(s): COMPUTER SCIENCE   Show: Top
,Institutions,Countries/Regions,Web of Science Documents,Cites,Cites/Paper,Top Papers
"534","INSTITUT NATIONAL DES SCIENCES APPLIQUEES DE LYON - INSA LYON","FRANCE","778","8746","11.24","3"
"535","UNIVERSITY OF CALIFORNIA RIVERSIDE","USA","552","8706","15.77","4"
"536","NOKIA BELL LABS","USA","324","8705","26.87","11"
"537","UNIVERSITY OF DELAWARE","USA","481","8647","17.98","10"
"538","UNIVERSITY OF NOTTINGHAM","ENGLAND","582","8643","14.85","3"
"539","INSTITUTO DE TELECOMUNICACOES","PORTUGAL","421","8574","20.37","6"
"540","WAYNE STATE UNIVERSITY","USA","410","8567","20.90","5"
"541","UNIVERSITY OF TABRIZ","IRAN","564","8558","15.17","6"
"542","UNIVERSITY OF LEEDS","ENGLAND","611","8506","13.92","9"
"543","NEW YORK UNIVERSITY TANDON SCHOOL OF ENGINEERING","USA","354","8467","23.92","11"
"544","UNIV TOWN SHENZHEN","N/A","540","8466","15.68","10"
"545","TSINGHUA SHENZHEN INTERNATIONAL GRADUATE SCHOOL","CHINA MAINLAND","538","8456","15.72","10"
"546","DEEPMIND","N/A","91","8451","92.87","12"
"547","BEIJING UNIVERSITY OF CHEMICAL TECHNOLOGY","CHINA MAINLAND","388","8397","21.64","16"
"548","ADOBE SYSTEMS INC.","USA","376","8388","22.31","3"
"549","GRAZ UNIVERSITY OF TECHNOLOGY","AUSTRIA","584","8378","14.35","8"
"550","FACEBOOK INC","USA","389","8371","21.52","12"
"551","YUNNAN UNIVERSITY","CHINA MAINLAND","784","8368","10.67","7"
"552","UNIVERSITY OF LJUBLJANA","SLOVENIA","558","8342","14.95","5"
"553","INSTITUT NATIONAL POLYTECHNIQUE DE GRENOBLE","FRANCE","915","8326","9.10","7"
"554","NANJING NORMAL UNIVERSITY","CHINA MAINLAND","602","8321","13.82","6"
"555","PLA INFORMATION ENGINEERING UNIVERSITY","CHINA MAINLAND","1367","8314","6.08","5"
"556","UNIVERSITE TOULOUSE III - PAUL SABATIER","FRANCE","791","8263","10.45","5"
"557","NATIONAL CENTRAL UNIVERSITY","TAIWAN","663","8260","12.46","8"
"558","UNIV PARIS EST COMUE","N/A","638","8255","12.94","5"
"559","UNIV NANTES ANGERS LE MANS","N/A","651","8244","12.66","5"
"560","XI'AN JIAOTONG-LIVERPOOL UNIVERSITY","CHINA MAINLAND","524","8224","15.69","6"
"561","UNIVERSIDADE FEDERAL DE MINAS GERAIS","BRAZIL","741","8211","11.08","6"
"562","GEORGE MASON UNIVERSITY","USA","688","8194","11.91","7"
"563","WAGENINGEN UNIVERSITY & RESEARCH","NETHERLANDS","320","8122","25.38","9"
"564","UNIVERSITY OF BERN","SWITZERLAND","354","8105","22.90","13"
